"value","type"
1.59,"type_1_500_samples"
65.1105,"type_1_500_samples"
31.76025,"type_1_500_samples"
23.81025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
1.59,"type_1_500_samples"
8.70525,"type_1_500_samples"
3.975,"type_1_500_samples"
65.1105,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
192.1515,"type_1_500_samples"
0.795,"type_1_500_samples"
-34.39475,"type_1_500_samples"
0.795,"type_1_500_samples"
65.9055,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
34.14525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
1.59,"type_1_500_samples"
192.1515,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
33.35025,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
3.975,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
127.836,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0,"type_1_500_samples"
7.155,"type_1_500_samples"
16.5,"type_1_500_samples"
-35.18975,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
32.55525,"type_1_500_samples"
16.5,"type_1_500_samples"
32.55525,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
3.975,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
17.45025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
31.76025,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
33.35025,"type_1_500_samples"
-8.39475,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
4.6905,"type_1_500_samples"
16.5,"type_1_500_samples"
32.55525,"type_1_500_samples"
64.3155,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
64.3155,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
16.5,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
-34.39475,"type_1_500_samples"
0.795,"type_1_500_samples"
37.32525,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
65.1105,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
191.3565,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
-7.39475,"type_1_500_samples"
3.975,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
63.5205,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
65.1105,"type_1_500_samples"
63.5205,"type_1_500_samples"
152.2015,"type_1_500_samples"
14.27025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
-34.39475,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
47.6205,"type_1_500_samples"
1.59,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
65.9055,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
23.01525,"type_1_500_samples"
31.76025,"type_1_500_samples"
32.55525,"type_1_500_samples"
16.5,"type_1_500_samples"
5.565,"type_1_500_samples"
65.9055,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
33.35025,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
-8.39475,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
1.59,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
-16.5845,"type_1_500_samples"
2.385,"type_1_500_samples"
2.385,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
66.7005,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
34.94025,"type_1_500_samples"
-37.44475,"type_1_500_samples"
-0.205,"type_1_500_samples"
3.975,"type_1_500_samples"
0.795,"type_1_500_samples"
64.3155,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
64.3155,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
96.07575,"type_1_500_samples"
34.14525,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
65.1105,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
32.55525,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
31.76025,"type_1_500_samples"
16.5,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
33.35025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
40.4655,"type_1_500_samples"
33.35025,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
34.14525,"type_1_500_samples"
0.795,"type_1_500_samples"
23.81025,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
3.975,"type_1_500_samples"
2.385,"type_1_500_samples"
3.975,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
38.91525,"type_1_500_samples"
1.59,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
5.565,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
64.3155,"type_1_500_samples"
65.1105,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
-0.615,"type_1_500_samples"
2.385,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
33.35025,"type_1_500_samples"
96.07575,"type_1_500_samples"
1.59,"type_1_500_samples"
24.3655,"type_1_500_samples"
-7.39475,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
15.496,"type_1_500_samples"
-62.39475,"type_1_500_samples"
192.9465,"type_1_500_samples"
0.795,"type_1_500_samples"
14.27025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
159.59625,"type_1_500_samples"
0.795,"type_1_500_samples"
96.07575,"type_1_500_samples"
0.795,"type_1_500_samples"
-34.39475,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
34.14525,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
24.60525,"type_1_500_samples"
16.5,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
11.88525,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
33.35025,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
2.385,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
22.22025,"type_1_500_samples"
1.59,"type_1_500_samples"
32.55525,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
16.5,"type_1_500_samples"
2.385,"type_1_500_samples"
1.59,"type_1_500_samples"
32.55525,"type_1_500_samples"
33.35025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
24.60525,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
65.1105,"type_1_500_samples"
-34.39475,"type_1_500_samples"
65.9055,"type_1_500_samples"
0.795,"type_1_500_samples"
64.3155,"type_1_500_samples"
34.14525,"type_1_500_samples"
16.5,"type_1_500_samples"
1.59,"type_1_500_samples"
5.565,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
64.3155,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
96.831,"type_1_500_samples"
-5.34475,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
64.3155,"type_1_500_samples"
0.795,"type_1_500_samples"
-54.615,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
159.59625,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
-0.205,"type_1_500_samples"
1.59,"type_1_500_samples"
-0.205,"type_1_500_samples"
128.631,"type_1_500_samples"
1.59,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
32.55525,"type_1_500_samples"
40.50525,"type_1_500_samples"
31.76025,"type_1_500_samples"
1.59,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
2.385,"type_1_500_samples"
3.975,"type_1_500_samples"
65.1105,"type_1_500_samples"
32.55525,"type_1_500_samples"
31.76025,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
16.5,"type_1_500_samples"
35.73525,"type_1_500_samples"
64.3155,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
7.11525,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
1.59,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
1.59,"type_1_500_samples"
2.385,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
31.76025,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
65.1105,"type_1_500_samples"
0.795,"type_1_500_samples"
31.76025,"type_1_500_samples"
32.55525,"type_1_500_samples"
16.5,"type_1_500_samples"
0.795,"type_1_500_samples"
16.5,"type_1_500_samples"
96.87075,"type_1_500_samples"
65.1105,"type_1_500_samples"
0.795,"type_1_500_samples"
0.795,"type_1_500_samples"
32.55525,"type_1_500_samples"
5.565,"type_1_500_samples"
1.59,"type_1_500_samples"
16.5,"type_1_500_samples"
16.5,"type_1_500_samples"
32.55525,"type_1_500_samples"
0.795,"type_2_10000_samples"
16.5,"type_2_10000_samples"
1.59,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
65.1105,"type_2_10000_samples"
16.5,"type_2_10000_samples"
16.5,"type_2_10000_samples"
32.55525,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
1.59,"type_2_10000_samples"
96.87075,"type_2_10000_samples"
31.76025,"type_2_10000_samples"
34.14525,"type_2_10000_samples"
16.5,"type_2_10000_samples"
1.59,"type_2_10000_samples"
32.55525,"type_2_10000_samples"
1.59,"type_2_10000_samples"
32.55525,"type_2_10000_samples"
0.795,"type_2_10000_samples"
16.5,"type_2_10000_samples"
31.55525,"type_2_10000_samples"
0.795,"type_2_10000_samples"
16.5,"type_2_10000_samples"
0.795,"type_2_10000_samples"
32.55525,"type_2_10000_samples"
97.66575,"type_2_10000_samples"
32.55525,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
1.59,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
33,"type_2_10000_samples"
0.795,"type_2_10000_samples"
16.65525,"type_2_10000_samples"
1.59,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
33.35025,"type_2_10000_samples"
0.795,"type_2_10000_samples"
1.59,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
0.795,"type_2_10000_samples"
-0.205,"type_2_10000_samples"
32.55525,"type_2_10000_samples"
